i	time
0	0
1	1
2	1
3	2
4	3
5	6
6	7
7	8
8	8
9	10
10	13
11	14
12	17
13	22
14	22
15	29
16	38
17	33
18	43
19	40
20	48
21	45
22	55
23	57
24	66
25	65
26	72
27	76
28	86
29	95
30	112
31	128
32	106
33	108
34	111
35	127
36	144
37	182
38	223
39	165
40	153
41	173
42	173
43	185
44	203
45	195
46	218
47	212
48	224
49	226
50	236
51	253
52	265
53	270
54	276
55	298
56	297
57	309
58	330
59	336
60	341
61	352
62	368
63	372
64	390
65	406
66	413
67	432
68	436
69	458
70	467
71	477
72	502
73	512
74	521
75	534
76	543
77	559
78	569
79	594
80	602
81	631
82	642
83	661
84	663
85	682
86	700
87	717
88	735
89	754
90	768
91	797
92	797
93	811
94	835
95	856
96	883
97	887
98	909
99	913
