i	time
0	0
1	0
2	0
3	0
4	1
5	1
6	1
7	1
8	2
9	5
10	2
11	3
12	3
13	3
14	3
15	4
16	5
17	5
18	6
19	9
20	7
21	8
22	9
23	10
24	10
25	11
26	10
27	12
28	12
29	15
30	16
31	21
32	17
33	17
34	21
35	20
36	20
37	21
38	22
39	23
40	24
41	26
42	28
43	31
44	33
45	32
46	32
47	35
48	42
49	36
50	38
51	43
52	46
53	54
54	45
55	47
56	57
57	55
58	60
59	65
60	65
61	58
62	59
63	60
64	66
65	76
66	68
67	68
68	74
69	73
70	76
71	79
72	84
73	83
74	113
75	88
76	88
77	93
78	97
79	97
80	106
81	102
82	105
83	105
84	119
85	110
86	118
87	127
88	124
89	122
90	126
91	128
92	137
93	134
94	137
95	140
96	149
97	146
98	154
99	159
